GEOID,sTract,Pct_ViolentCrime
14000US17031841600,841600,0.0171429
14000US17031841700,841700,0.0107843
14000US17031841800,841800,0.0141086
14000US17031841900,841900,0.0032651
14000US17031842000,842000,0.0009135
14000US17031842100,842100,0.0180488
14000US17031842200,842200,0.0131836
14000US17031842300,842300,0.0072271
14000US17031842400,842400,0.0232558
14000US17031842500,842500,0.0365127
14000US17031842600,842600,0.0123819
14000US17031842800,842800,0.0067447
14000US17031842900,842900,0.0224558
14000US17031843000,843000,0.0256534
14000US17031843100,843100,0.0180563
14000US17031843200,843200,0.0070655
14000US17031843300,843300,0.0129422
14000US17031843400,843400,0.0266667
14000US17031843500,843500,0.0011632
14000US17031843600,843600,0.0115634
14000US17031843700,843700,0.0041891
14000US17031843800,843800,0.0194846
14000US17031843900,843900,0.0100901
